#shard	records	path
lap	10	devsurface/data/symbols/lap.jsonl
lass	1	devsurface/data/symbols/lass.jsonl
led_drvr	12	devsurface/data/symbols/led_drvr.jsonl
listboxview	3	devsurface/data/symbols/listboxview.jsonl
loadauth	4	devsurface/data/symbols/loadauth.jsonl
lockmgr	1	devsurface/data/symbols/lockmgr.jsonl
lockmgrhelp	3	devsurface/data/symbols/lockmgrhelp.jsonl
lockmgrtypes	1	devsurface/data/symbols/lockmgrtypes.jsonl
lt2pcfg	1	devsurface/data/symbols/lt2pcfg.jsonl
malloc	2	devsurface/data/symbols/malloc.jsonl
mdd.c	9	devsurface/data/symbols/mdd.c.jsonl
mediaqueryengine	48	devsurface/data/symbols/mediaqueryengine.jsonl
mem_arm	1	devsurface/data/symbols/mem_arm.jsonl
minish	10	devsurface/data/symbols/minish.jsonl
mipsintr	205	devsurface/data/symbols/mipsintr.jsonl
mkfuncs	5	devsurface/data/symbols/mkfuncs.jsonl
mlang	207	devsurface/data/symbols/mlang.jsonl
mmddk	48	devsurface/data/symbols/mmddk.jsonl
mmsystem	157	devsurface/data/symbols/mmsystem.jsonl
mq	160	devsurface/data/symbols/mq.jsonl
mqmgmt	2	devsurface/data/symbols/mqmgmt.jsonl
mqoai	41	devsurface/data/symbols/mqoai.jsonl
msacmdrv	29	devsurface/data/symbols/msacmdrv.jsonl
msgqueue	8	devsurface/data/symbols/msgqueue.jsonl
mshtmhst	5	devsurface/data/symbols/mshtmhst.jsonl
mshtml	25	devsurface/data/symbols/mshtml.jsonl
msime	148	devsurface/data/symbols/msime.jsonl
msimeui	2	devsurface/data/symbols/msimeui.jsonl
mspyime	3	devsurface/data/symbols/mspyime.jsonl
msr	2	devsurface/data/symbols/msr.jsonl
mssoap	156	devsurface/data/symbols/mssoap.jsonl
msxml2	249	devsurface/data/symbols/msxml2.jsonl
mwinreg	1	devsurface/data/symbols/mwinreg.jsonl
n-a.	1	devsurface/data/symbols/n-a..jsonl
natedit	36	devsurface/data/symbols/natedit.jsonl
nclientview	18	devsurface/data/symbols/nclientview.jsonl
