#symbol	book_count	per_book(book|kind|header|library)
_CountLeadingSigns64	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountLeadingZeros	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountLeadingZeros64	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountOneBits	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CountOneBits64	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_CreateLogObject	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_cvt_ps_s	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_cvt_s_pl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_cvt_s_pu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_DAddSatInt	3	mslearn-windows-ce-5.0|function|Armintr.h|	mslearn-windows-ce-net-4x|function|Armintr.h|	mslearn-windows-embedded-ce-6.0|function|armintr.h|
_debugbreak	1	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_DEVIOCTLINPUT	1	mslearn-windows-ce-net-4x|struct||
_disable	2	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_DisplayMsg	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_div_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_div_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_div_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_div_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_div_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_Dot3dVW0	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
