ee479099(v=winembedded.60)	OALIoReadBusData
ee478642(v=winembedded.60)	OALIoTransBusAddress
ee478326(v=winembedded.60)	OALIoTransSystemAddress
ee479381(v=winembedded.60)	OALIoWriteBusData
ee478473(v=winembedded.60)	IOCTL_OAL_BUSPOWEROFF
ee479062(v=winembedded.60)	IOCTL_OAL_BUSPOWERON
ee478189(v=winembedded.60)	IOCTL_OAL_READBUSDATA
ee479380(v=winembedded.60)	IOCTL_OAL_TRANSBUSADDRESS
ee478207(v=winembedded.60)	IOCTL_OAL_TRANSSYSADDRESS
ee478502(v=winembedded.60)	IOCTL_OAL_WRITEBUSDATA
ee478681(v=winembedded.60)	CLRPORT8
ee479397(v=winembedded.60)	CLRPORT16
ee479180(v=winembedded.60)	CLRPORT32
ee478230(v=winembedded.60)	CLRREG8
ee478965(v=winembedded.60)	CLRREG16
ee478315(v=winembedded.60)	CLRREG32
ee478426(v=winembedded.60)	INPORT8
ee478226(v=winembedded.60)	INPORT16
ee478130(v=winembedded.60)	INPORT32
ee478289(v=winembedded.60)	INREG8
ee478411(v=winembedded.60)	INREG16
ee479266(v=winembedded.60)	INREG32
ee478506(v=winembedded.60)	MASKPORT8
ee478233(v=winembedded.60)	MASKPORT16
ee478569(v=winembedded.60)	MASKPORT32
ee478297(v=winembedded.60)	MASKREG8
ee478181(v=winembedded.60)	MASKREG16
ee478585(v=winembedded.60)	MASKREG32
ee478696(v=winembedded.60)	OUTPORT8
ee478713(v=winembedded.60)	OUTPORT16
ee478753(v=winembedded.60)	OUTPORT32
ee478299(v=winembedded.60)	OUTREG8
ee479460(v=winembedded.60)	OUTREG16
ee479364(v=winembedded.60)	OUTREG32
ee478465(v=winembedded.60)	SETPORT8
ee479458(v=winembedded.60)	SETPORT16
ee479216(v=winembedded.60)	SETPORT32
ee479355(v=winembedded.60)	SETREG8
ee478606(v=winembedded.60)	SETREG16
ee478268(v=winembedded.60)	SETREG32
ee478838(v=winembedded.60)	OAL_DDK_PARAMS
ee478729(v=winembedded.60)	Interrupt Reference Kernel Interface
ee478546(v=winembedded.60)	Interrupt Reference OAL Interface
ee478998(v=winembedded.60)	Interrupt Reference Internal Interface
ee478457(v=winembedded.60)	Interrupt Reference Hardware Platform Callback Functions
ee478235(v=winembedded.60)	Interrupt Constants
ee478959(v=winembedded.60)	BSPIntrActiveIrq
ee478153(v=winembedded.60)	BSPIntrDisableIrq
ee479090(v=winembedded.60)	BSPIntrDoneIrq
ee478390(v=winembedded.60)	BSPIntrEnableIrq
ee478138(v=winembedded.60)	BSPIntrInit
ee478317(v=winembedded.60)	BSPIntrRequestIrqs
ee478364(v=winembedded.60)	OALIntrDisableIrqs
ee478515(v=winembedded.60)	OALIntrDoneIrqs
ee479298(v=winembedded.60)	OALIntrEnableIrqs
ee479150(v=winembedded.60)	OALIntrInit
ee479124(v=winembedded.60)	OALIntrMapInit
ee478246(v=winembedded.60)	OALIntrReleaseSysIntr
ee478677(v=winembedded.60)	OALIntrRequestIrqs
ee478468(v=winembedded.60)	OALIntrRequestSysIntr
ee478620(v=winembedded.60)	OALIntrStaticTranslate
ee479265(v=winembedded.60)	OALIntrTranslateIrq
ee478630(v=winembedded.60)	OALIntrTranslateSysIntr
ee478709(v=winembedded.60)	OALIoCtlHalReleaseSysIntr
ee478588(v=winembedded.60)	OALIoCtlHalRequestIrq
ee479374(v=winembedded.60)	OALIoCtlHalRequestSysIntr
ee479358(v=winembedded.60)	Interrupt Latency Timing Reference Kernel Interface
ee478550(v=winembedded.60)	Interrupt Latency Timing Reference OAL Interface
ee478391(v=winembedded.60)	OALIoCtlHalILTiming
ee478243(v=winembedded.60)	g_oalILT
ee479046(v=winembedded.60)	OAL_ILT_STATE
ee478638(v=winembedded.60)	IOCTL Reference External Interface
ee479338(v=winembedded.60)	IOCTL Constants
ee478132(v=winembedded.60)	OALIoCtlHalDDI
ee478162(v=winembedded.60)	OALIoCtlHalGetDeviceId
ee478861(v=winembedded.60)	OALIoCtlHalGetDeviceInfo
ee478538(v=winembedded.60)	OALIoCtlHalGetHWEntropy
ee478575(v=winembedded.60)	OALIoCtlHalGetRandomSeed
ee478790(v=winembedded.60)	OALIoCtlHalGetRegSecureKeys
ee478536(v=winembedded.60)	OALIoCtlHalGetUUID
ee478410(v=winembedded.60)	OALIoCtlHalInitRegistry
ee478926(v=winembedded.60)	OALIoCtlHalReboot
ee479334(v=winembedded.60)	OALIoCtlHalUpdateMode
ee478524(v=winembedded.60)	OALIoCtlProcessorInfo
ee478244(v=winembedded.60)	g_oalIoCtlClockSpeed
ee478321(v=winembedded.60)	g_oalIoCtlInstructionSet
ee478855(v=winembedded.60)	g_oalIoCtlPlatformOEM
ee479242(v=winembedded.60)	g_oalIoCtlPlatformType
ee478377(v=winembedded.60)	g_oalIoCtlProcessorCore
ee478194(v=winembedded.60)	g_oalIoCtlProcessorName
ee478935(v=winembedded.60)	g_oalIoCtlProcessorVendor
ee478216(v=winembedded.60)	g_oalIoCtlTable
ee479310(v=winembedded.60)	OAL_IOCTL_HANDLER
ee478350(v=winembedded.60)	Logging Reference OAL Interface
ee478125(v=winembedded.60)	Logging Constants
ee479074(v=winembedded.60)	OALLog
ee478556(v=winembedded.60)	OALLogPrintf
ee478128(v=winembedded.60)	OALLogSerial
ee479002(v=winembedded.60)	OALLogSetZones
ee478424(v=winembedded.60)	OALLogV
ee478220(v=winembedded.60)	g_oalLogMask
ee479388(v=winembedded.60)	OALLED
ee479082(v=winembedded.60)	OALMASK
ee479440(v=winembedded.60)	OALMSG
ee478263(v=winembedded.60)	OALMSGS
ee479448(v=winembedded.60)	OALZONE
ee478371(v=winembedded.60)	OAL Trace Zones
ee478353(v=winembedded.60)	Memory Reference Kernel Interface
ee479305(v=winembedded.60)	Memory Reference OAL Interface
ee479209(v=winembedded.60)	Memory Constants
ee478817(v=winembedded.60)	OALCAtoUA
ee478541(v=winembedded.60)	OALPAtoCA
ee479454(v=winembedded.60)	OALPAtoUA
ee478516(v=winembedded.60)	OALPAtoVA
ee478191(v=winembedded.60)	OALUAtoCA
ee479429(v=winembedded.60)	OALVAtoPA
ee479281(v=winembedded.60)	g_oalAddressTable
ee478612(v=winembedded.60)	OAL_ADDRESS_TABLE
ee479145(v=winembedded.60)	PCI Reference OAL Interface
ee478323(v=winembedded.60)	OALPCICfgRead
ee478568(v=winembedded.60)	OALPCICfgWrite
ee479064(v=winembedded.60)	OALPCIConfig
ee478443(v=winembedded.60)	OALPCIDump
ee478281(v=winembedded.60)	OALPCIDumpConfig
ee478719(v=winembedded.60)	OALPCIFindNextId
ee478169(v=winembedded.60)	OALPCIGetHeaderType
ee478214(v=winembedded.60)	OALPCIGetId
ee478367(v=winembedded.60)	OALPCIGetInterruptPin
ee479409(v=winembedded.60)	OALPCIGetMBAR
ee478305(v=winembedded.60)	OALPCIGetSecBusNum
ee478293(v=winembedded.60)	OALPCIGetSubBusNum
ee479426(v=winembedded.60)	OALPCIInit
ee479058(v=winembedded.60)	OALPCIPowerOff
ee478877(v=winembedded.60)	OALPCIPowerOn
ee478613(v=winembedded.60)	OALPCIRegisterAsUsed
ee479258(v=winembedded.60)	OALPCITransBusAddress
ee478469(v=winembedded.60)	OAL_PCI_LOCATION
ee478586(v=winembedded.60)	Timer Reference Kernel Interface
ee478374(v=winembedded.60)	Timer Reference OAL Interface
ee479104(v=winembedded.60)	Timer Reference Internal Interface
ee479316(v=winembedded.60)	OALCPUIdle
ee479069(v=winembedded.60)	OALGetTickCount
ee478871(v=winembedded.60)	OALStall
ee478496(v=winembedded.60)	OALTimerCountsSinceSysTick
ee478161(v=winembedded.60)	OALTimerGetCompare
ee478401(v=winembedded.60)	OALTimerGetCount
ee478529(v=winembedded.60)	OALTimerInit
ee478554(v=winembedded.60)	OALTimerInitCount
ee478271(v=winembedded.60)	OALTimerIntrHandler
ee478466(v=winembedded.60)	OALTimerQueryPerformanceFrequency
ee478723(v=winembedded.60)	OALTimerQueryPerformanceCounter
ee478619(v=winembedded.60)	OALTimerRecharge
ee479019(v=winembedded.60)	OALTimerSetCompare
ee478577(v=winembedded.60)	OALTimerUpdate
ee478304(v=winembedded.60)	OALTimerUpdateRescheduleTime
ee478463(v=winembedded.60)	g_oalTimer
ee478745(v=winembedded.60)	OAL_TIMER_STATE
ee479256(v=winembedded.60)	ARM Vector Floating-Point Unit Support
ee478499(v=winembedded.60)	ARMV6 and V7 Supported Features
ee478776(v=winembedded.60)	MIPSII and MIPSIV Kernel
ee478960(v=winembedded.60)	SHx Kernels
ee478298(v=winembedded.60)	x86 Kernel
ee479346(v=winembedded.60)	ARM Kernel Initialization
ee478151(v=winembedded.60)	MIPS Kernel Initialization
ee478405(v=winembedded.60)	SHx Kernel Initialization
ee478256(v=winembedded.60)	x86 Kernel Initialization
ee478439(v=winembedded.60)	Kernel Relocation
ee478159(v=winembedded.60)	Memory Initialization
ee478275(v=winembedded.60)	Completion of Kernel Initialization
ee478510(v=winembedded.60)	System Halt
ee478441(v=winembedded.60)	Creating the OAL Sources and Makefile Files
ee478360(v=winembedded.60)	Building the OAL Source Code
ee479095(v=winembedded.60)	Creating Stubs for OAL Functions
ee478421(v=winembedded.60)	ARM Microprocessor
ee479160(v=winembedded.60)	MIPS Microprocessor
ee478691(v=winembedded.60)	SHx Microprocessor
ee478351(v=winembedded.60)	OEMAddressTable
ee478387(v=winembedded.60)	Cache Flush Routines
ee478314(v=winembedded.60)	Enabling the Debug Serial Port
ee479026(v=winembedded.60)	Sharing Code Between the Boot Loader and the OAL
ee478461(v=winembedded.60)	System Tick Timer Initialization
ee478901(v=winembedded.60)	System Tick Timer Implementation
ee479392(v=winembedded.60)	Defining an Interrupt Identifier
ee479255(v=winembedded.60)	Creating an Interrupt Identifier
ee478447(v=winembedded.60)	Initializing an Interrupt
ee478707(v=winembedded.60)	Handling an Interrupt
ee478239(v=winembedded.60)	Disabling an Interrupt
ee478264(v=winembedded.60)	Passing Data between an ISR and an IST
ee478149(v=winembedded.60)	CPU Utilization
ee478933(v=winembedded.60)	Interactions between OEMIdle and the Thread Timer
ee478241(v=winembedded.60)	Types of System Tick Timers
ee479127(v=winembedded.60)	CPUClearSysTimerIRQ Routine
ee478384(v=winembedded.60)	CPUEnterIdle Routine
ee478247(v=winembedded.60)	CPUGetSysTimerCountElapsed Routine
ee478334(v=winembedded.60)	CPUGetSysTimerCountMax Routine
ee478544(v=winembedded.60)	CPUSetSysTimerCount Routine
ee479437(v=winembedded.60)	Implementing the Real-Time Clock and System Timer
ee478652(v=winembedded.60)	Config.bib Customization
ee478148(v=winembedded.60)	MainMemoryEndAddress Customization
ee478522(v=winembedded.60)	OEMGetExtensionDRAM Customization
ee478346(v=winembedded.60)	pNKEnumExtensionDRAM Customization
ee479190(v=winembedded.60)	Configuring Object Store Memory
ee478503(v=winembedded.60)	Creating Physical to Virtual Mappings
ee478171(v=winembedded.60)	Memory Addressing
ee478363(v=winembedded.60)	PerfCountSinceTick and PerfCountFreq
ee479277(v=winembedded.60)	ILTiming Support
ee479187(v=winembedded.60)	Providing System Information
ee478794(v=winembedded.60)	Rebooting the Target Device
ee478523(v=winembedded.60)	Setting the Real-Time Clock
ee478679(v=winembedded.60)	Identifying Devices Uniquely
ee478590(v=winembedded.60)	Erasing the Object Store
ee478796(v=winembedded.60)	High-Performance Counter Support
ee478338(v=winembedded.60)	OSBench Support
ee479368(v=winembedded.60)	Configuring the Process Boot Phase
ee478644(v=winembedded.60)	CeLog Flags
ee478864(v=winembedded.60)	CPU Dependencies for OAL Functions
ee478359(v=winembedded.60)	CacheErrorHandler
ee478340(v=winembedded.60)	FlushDCache
ee479199(v=winembedded.60)	FlushICache
ee478451(v=winembedded.60)	InitClock
ee478598(v=winembedded.60)	OEMARMCacheMode
ee478186(v=winembedded.60)	OEMCacheRangeFlush
ee478113(v=winembedded.60)	OEMClearDebugCommError
ee478848(v=winembedded.60)	OEMDataAbortHandler
ee478167(v=winembedded.60)	OEMFlushCache
ee478625(v=winembedded.60)	OEMGetExtensionDRAM
ee478533(v=winembedded.60)	OEMGetRealTime
ee479211(v=winembedded.60)	OEMIdle
ee478288(v=winembedded.60)	OEMInit
ee479405(v=winembedded.60)	OEMInterruptDisable
ee478963(v=winembedded.60)	OEMInterruptDone
ee478508(v=winembedded.60)	OEMInterruptEnable
ee478307(v=winembedded.60)	OEMInterruptHandler
ee479208(v=winembedded.60)	OEMInterruptHandlerFIQ
ee478941(v=winembedded.60)	OEMIoControl
ee479092(v=winembedded.60)	OEMNMI
ee478632(v=winembedded.60)	OEMNMIHandler
ee478285(v=winembedded.60)	OEMPowerOff
ee478154(v=winembedded.60)	OEMSetAlarmTime
ee478512(v=winembedded.60)	OEMSetRealTime
